
      NO.            	   Temp              	  %RH              	  WB                 	  DP                 	 Heure 
    109          	    -23.5           	       57.2           	      -23.9           	      -29.6           	17-02-22/16:17:24 
    110          	    -23.4           	       58.1           	      -23.8           	      -29.3           	17-02-22/16:17:54 
    111          	    -23.3           	       58.7           	      -23.7           	      -29.1           	17-02-22/16:18:24 
    112          	    -23.3           	       59.4           	      -23.7           	      -29.0           	17-02-22/16:18:54 
    113          	    -23.4           	       59.9           	      -23.8           	      -29.0           	17-02-22/16:19:24 
    114          	    -23.4           	       60.5           	      -23.8           	      -28.9           	17-02-22/16:19:54 
    115          	    -23.3           	       61.2           	      -23.7           	      -28.7           	17-02-22/16:20:24 
    116          	    -23.2           	       61.7           	      -23.6           	      -28.5           	17-02-22/16:20:54 
    117          	    -23.2           	       62.2           	      -23.6           	      -28.4           	17-02-22/16:21:24 
    118          	    -23.3           	       62.7           	      -23.7           	      -28.4           	17-02-22/16:21:54 
    119          	    -23.2           	       63.2           	      -23.6           	      -28.2           	17-02-22/16:22:24 
    120          	    -23.2           	       63.6           	      -23.6           	      -28.1           	17-02-22/16:22:54 
    121          	    -23.1           	       64.0           	      -23.5           	      -28.0           	17-02-22/16:23:24 
    122          	    -23.0           	       64.4           	      -23.4           	      -27.8           	17-02-22/16:23:54 
    123          	    -23.0           	       64.8           	      -23.4           	      -27.8           	17-02-22/16:24:24 
    124          	    -23.0           	       65.2           	      -23.4           	      -27.7           	17-02-22/16:24:54 
    125          	    -23.1           	       65.6           	      -23.5           	      -27.7           	17-02-22/16:25:24 
    126          	    -22.9           	       66.0           	      -23.3           	      -27.5           	17-02-22/16:25:54 
    127          	    -23.0           	       66.4           	      -23.4           	      -27.5           	17-02-22/16:26:24 
    128          	    -22.9           	       66.7           	      -23.3           	      -27.3           	17-02-22/16:26:54 
    129          	    -22.9           	       67.2           	      -23.3           	      -27.3           	17-02-22/16:27:24 
    130          	    -22.7           	       67.5           	      -23.1           	      -27.0           	17-02-22/16:27:54 
    131          	    -22.8           	       67.8           	      -23.2           	      -27.1           	17-02-22/16:28:24 
    132          	    -22.7           	       68.1           	      -23.1           	      -26.9           	17-02-22/16:28:54 
    133          	    -22.7           	       68.4           	      -23.1           	      -26.9           	17-02-22/16:29:24 
    134          	    -22.7           	       68.8           	      -23.1           	      -26.8           	17-02-22/16:29:54 
    135          	    -22.7           	       69.1           	      -23.0           	      -26.8           	17-02-22/16:30:24 
    136          	    -22.6           	       69.5           	      -22.9           	      -26.6           	17-02-22/16:30:54 
    137          	    -22.5           	       69.8           	      -22.8           	      -26.5           	17-02-22/16:31:24 
    138          	    -22.5           	       70.1           	      -22.8           	      -26.4           	17-02-22/16:31:54 
    139          	    -22.4           	       70.4           	      -22.7           	      -26.3           	17-02-22/16:32:24 
    140          	    -22.4           	       70.7           	      -22.7           	      -26.2           	17-02-22/16:32:54 
    141          	    -22.4           	       70.9           	      -22.7           	      -26.2           	17-02-22/16:33:24 
    142          	    -22.4           	       71.3           	      -22.7           	      -26.1           	17-02-22/16:33:54 
    143          	    -22.3           	       71.4           	      -22.6           	      -26.0           	17-02-22/16:34:24 
    144          	    -22.3           	       71.5           	      -22.6           	      -26.0           	17-02-22/16:34:54 
    145          	    -22.3           	       71.3           	      -22.6           	      -26.0           	17-02-22/16:35:24 
    146          	    -22.2           	       71.0           	      -22.5           	      -26.0           	17-02-22/16:35:54 
    147          	    -22.2           	       70.4           	      -22.6           	      -26.1           	17-02-22/16:36:24 
    148          	    -22.4           	       69.4           	      -22.8           	      -26.4           	17-02-22/16:36:54 
    149          	    -22.3           	       68.4           	      -22.7           	      -26.5           	17-02-22/16:37:24 
    150          	    -22.4           	       67.2           	      -22.8           	      -26.8           	17-02-22/16:37:54 
    151          	    -22.4           	       66.2           	      -22.8           	      -27.0           	17-02-22/16:38:24 
    152          	    -22.4           	       65.2           	      -22.8           	      -27.1           	17-02-22/16:38:54 
    153          	    -22.5           	       64.2           	      -22.9           	      -27.4           	17-02-22/16:39:24 
    154          	    -22.5           	       63.2           	      -22.9           	      -27.5           	17-02-22/16:39:54 
    155          	    -22.6           	       62.4           	      -23.0           	      -27.8           	17-02-22/16:40:24 
    156          	    -22.7           	       61.7           	      -23.1           	      -28.0           	17-02-22/16:40:54 
    157          	    -22.7           	       61.0           	      -23.1           	      -28.1           	17-02-22/16:41:24 
    158          	    -22.9           	       60.2           	      -23.3           	      -28.4           	17-02-22/16:41:54 
    159          	    -22.9           	       59.7           	      -23.3           	      -28.5           	17-02-22/16:42:24 
    160          	    -23.0           	       59.2           	      -23.4           	      -28.7           	17-02-22/16:42:54 
    161          	    -23.1           	       58.7           	      -23.5           	      -28.9           	17-02-22/16:43:24 
    162          	    -23.1           	       58.1           	      -23.5           	      -29.0           	17-02-22/16:43:54 
    163          	    -23.3           	       57.5           	      -23.7           	      -29.3           	17-02-22/16:44:24 
    164          	    -23.3           	       57.1           	      -23.7           	      -29.4           	17-02-22/16:44:54 
    165          	    -23.5           	       56.6           	      -23.9           	      -29.7           	17-02-22/16:45:24 
    166          	    -23.4           	       56.2           	      -23.8           	      -29.6           	17-02-22/16:45:54 
    167          	    -23.6           	       55.9           	      -24.0           	      -29.9           	17-02-22/16:46:24 
    168          	    -23.6           	       55.5           	      -24.0           	      -30.0           	17-02-22/16:46:54 
    169          	    -23.8           	       55.2           	      -24.2           	      -30.2           	17-02-22/16:47:24 
    170          	    -23.8           	       55.0           	      -24.2           	      -30.2           	17-02-22/16:47:54 
    171          	    -24.0           	       54.9           	      -24.4           	      -30.5           	17-02-22/16:48:24 
    172          	    -24.0           	       54.7           	      -24.4           	      -30.5           	17-02-22/16:48:54 
    173          	    -24.0           	       55.0           	      -24.4           	      -30.4           	17-02-22/16:49:24 
    174          	    -24.1           	       55.2           	      -24.5           	      -30.5           	17-02-22/16:49:54 
    175          	    -24.1           	       55.6           	      -24.5           	      -30.4           	17-02-22/16:50:24 
    176          	    -24.3           	       56.0           	      -24.7           	      -30.5           	17-02-22/16:50:54 
    177          	    -24.2           	       56.7           	      -24.6           	      -30.3           	17-02-22/16:51:24 
    178          	    -24.2           	       57.2           	      -24.6           	      -30.2           	17-02-22/16:51:54 
    179          	    -24.3           	       57.9           	      -24.7           	      -30.2           	17-02-22/16:52:24 
    180          	    -24.3           	       58.6           	      -24.7           	      -30.1           	17-02-22/16:52:54 
    181          	    -24.3           	       59.4           	      -24.7           	      -29.9           	17-02-22/16:53:24 
    182          	    -24.3           	       60.0           	      -24.7           	      -29.8           	17-02-22/16:53:54 
    183          	    -24.4           	       60.7           	      -24.8           	      -29.8           	17-02-22/16:54:24 
    184          	    -24.3           	       61.5           	      -24.7           	      -29.5           	17-02-22/16:54:54 
    185          	    -24.3           	       62.2           	      -24.7           	      -29.4           	17-02-22/16:55:24 
    186          	    -24.4           	       62.9           	      -24.8           	      -29.4           	17-02-22/16:55:54 
    187          	    -24.3           	       63.5           	      -24.6           	      -29.2           	17-02-22/16:56:24 
    188          	    -24.2           	       64.1           	      -24.5           	      -29.0           	17-02-22/16:56:54 
